id,name_en,enforce_room_capacity_limits,guide_requirement,room_requirement,allow_video_call
1,In-person,1,guide_required,room_required,0
2,Online,0,guide_required,room_required,1
3,On-site,0,guide_required,no_room,0
4,Admin Hold,0,guide_optional,room_optional,0
5,Jeddah In-Person,0,guide_optional,no_room,0
